C radial distance [nm], count [collisions/A^2]
0.00,12
0.10,22
0.20,17
0.30,6
0.40,20
0.50,14
0.60,10
0.70,8
0.80,17
0.90,3
1.00,11
1.10,9
1.20,17
1.30,14
1.40,6
1.50,16
1.60,15
1.70,15
1.80,25
1.90,11
2.00,22
2.10,20
2.20,14
2.30,16
2.40,9
2.50,8
2.60,8
2.70,9
2.80,10
2.90,13
3.00,18
3.10,10
3.20,18
3.30,12
3.40,8
3.50,9
3.60,13
3.70,17
3.80,21
3.90,14
4.00,8
4.10,12
4.20,13
4.30,14
4.40,17
4.50,19
4.60,19
4.70,22
4.80,7
4.90,12
5.01,8
5.11,19
5.21,8
5.31,13
5.41,8
5.51,8
5.61,12
5.71,11
5.81,9
5.91,12
6.01,16
6.11,5
6.21,13
6.31,18
6.41,17
6.51,5
6.61,11
6.71,7
6.81,7
6.91,1
7.01,11
7.11,6
7.21,16
7.31,9
7.41,11
7.51,8
7.61,7
7.71,8
7.81,8
7.91,16
8.01,7
8.11,10
8.21,18
8.31,9
8.41,7
8.51,11
8.61,8
8.71,9
8.81,16
8.91,12
9.01,6
9.11,21
9.21,15
9.31,14
9.41,9
9.51,14
9.61,4
9.71,13
9.81,9
9.91,5
10.01,7
10.11,11
10.21,7
10.31,9
10.41,5
10.51,6
10.61,6
10.71,5
10.81,6
10.91,5
11.01,2
11.11,10
11.21,9
11.31,6
11.41,8
11.51,8
11.61,14
11.71,10
11.81,16
11.91,19
12.01,11
12.11,13
12.21,16
12.31,15
12.41,12
12.51,4
12.61,5
12.71,8
12.81,8
12.91,14
13.01,9
13.11,11
13.21,19
13.31,14
13.41,8
13.51,17
13.61,10
13.71,8
13.81,8
13.91,9
14.01,18
14.11,10
14.21,11
14.31,14
14.41,22
14.51,9
14.61,11
14.71,9
14.81,15
14.91,7
15.02,8
15.12,13
15.22,13
15.32,10
15.42,9
15.52,4
15.62,15
15.72,18
15.82,8
15.92,12
16.02,3
16.12,8
16.22,4
16.32,12
16.42,4
16.52,11
16.62,13
16.72,17
16.82,10
16.92,16
17.02,18
17.12,8
17.22,18
17.32,12
17.42,12
17.52,8
17.62,16
17.72,15
17.82,13
17.92,16
18.02,9
18.12,7
18.22,9
18.32,13
18.42,9
18.52,14
18.62,6
18.72,12
18.82,15
18.92,11
19.02,19
19.12,8
19.22,11
19.32,4
19.42,12
19.52,10
19.62,9
19.72,15
19.82,21
19.92,23
20.02,15
20.12,20
20.22,15
20.32,16
20.42,23
20.52,11
20.62,18
20.72,12
20.82,16
20.92,24
21.02,19
21.12,25
21.22,27
21.32,22
21.42,14
21.52,13
21.62,14
21.72,13
21.82,15
21.92,9
22.02,17
22.12,21
22.22,10
22.32,13
22.42,7
22.52,4
22.62,9
22.72,8
22.82,4
22.92,11
23.02,12
23.12,8
23.22,10
23.32,11
23.42,21
23.52,7
23.62,18
23.72,15
23.82,18
23.92,15
24.02,18
24.12,18
24.22,15
24.32,8
24.42,8
24.52,7
24.62,10
24.72,14
24.82,6
24.92,8
25.03,16
25.13,8
25.23,4
25.33,7
25.43,7
25.53,9
25.63,16
25.73,16
25.83,13
25.93,16
26.03,6
26.13,8
26.23,16
26.33,11
26.43,12
26.53,20
26.63,14
26.73,15
26.83,13
26.93,7
27.03,12
27.13,14
27.23,16
27.33,18
27.43,9
27.53,15
27.63,6
27.73,9
27.83,10
27.93,7
28.03,17
28.13,10
28.23,8
28.33,6
28.43,8
28.53,14
28.63,11
28.73,13
28.83,10
28.93,15
29.03,14
29.13,12
29.23,19
29.33,10
29.43,9
29.53,17
29.63,20
29.73,7
29.83,12
29.93,16
30.03,9
30.13,14
30.23,12
30.33,17
30.43,5
30.53,12
30.63,8
30.73,10
30.83,14
30.93,9
31.03,8
31.13,7
31.23,8
31.33,7
31.43,19
31.53,7
31.63,12
31.73,16
31.83,11
31.93,22
32.03,10
32.13,8
32.23,8
32.33,11
32.43,19
32.53,13
32.63,19
32.73,21
32.83,22
32.93,16
33.03,14
33.13,17
33.23,20
33.33,14
33.43,15
33.53,22
33.63,14
33.73,11
33.83,11
33.93,13
34.03,10
34.13,15
34.23,10
34.33,12
34.43,14
34.53,16
34.63,17
34.73,23
34.83,27
34.93,10
35.04,11
35.14,17
35.24,14
35.34,17
35.44,18
35.54,15
35.64,15
35.74,24
35.84,20
35.94,19
36.04,13
36.14,8
36.24,14
36.34,10
36.44,12
36.54,10
36.64,15
36.74,13
36.84,17
36.94,13
37.04,10
37.14,15
37.24,8
37.34,12
37.44,12
37.54,14
37.64,11
37.74,9
37.84,7
37.94,12
38.04,15
38.14,18
38.24,12
38.34,17
38.44,15
38.54,6
38.64,14
38.74,19
38.84,11
38.94,19
39.04,11
39.14,14
39.24,11
39.34,16
39.44,18
39.54,13
39.64,17
39.74,16
39.84,16
39.94,12
40.04,8
40.14,11
40.24,12
40.34,14
40.44,10
40.54,11
40.64,7
40.74,9
40.84,11
40.94,11
41.04,9
41.14,11
41.24,10
41.34,12
41.44,8
41.54,6
41.64,6
41.74,13
41.84,6
41.94,12
42.04,14
42.14,10
42.24,7
42.34,10
42.44,6
42.54,10
42.64,11
42.74,12
42.84,8
42.94,12
43.04,4
43.14,14
43.24,1
43.34,13
43.44,5
43.54,8
43.64,6
43.74,6
43.84,7
43.94,7
44.04,18
44.14,15
44.24,15
44.34,13
44.44,4
44.54,4
44.64,7
44.74,8
44.84,14
44.94,9
45.05,10
45.15,13
45.25,15
45.35,15
45.45,6
45.55,10
45.65,4
45.75,8
45.85,4
45.95,8
46.05,8
46.15,3
46.25,5
46.35,5
46.45,8
46.55,7
46.65,8
46.75,6
46.85,7
46.95,6
47.05,9
47.15,9
47.25,8
47.35,7
47.45,4
47.55,3
47.65,5
47.75,6
47.85,15
47.95,6
48.05,3
48.15,1
48.25,9
48.35,9
48.45,2
48.55,6
48.65,5
48.75,16
48.85,11
48.95,9
49.05,7
49.15,8
49.25,8
49.35,21
49.45,14
49.55,22
49.65,15
49.75,24
49.85,11
49.95,24
50.05,7
50.15,12
50.25,18
50.35,17
50.45,27
50.55,18
50.65,19
50.75,21
50.85,30
50.95,13
51.05,14
