Ta radial distance [nm], count [collisions/A^2]
0.00,171
0.10,144
0.20,149
0.30,203
0.40,180
0.50,219
0.60,244
0.70,194
0.80,262
0.90,241
1.00,239
1.10,242
1.20,291
1.30,280
1.40,300
1.50,306
1.60,322
1.70,278
1.80,267
1.90,323
2.00,312
2.10,314
2.20,367
2.30,341
2.40,339
2.50,336
2.60,329
2.70,326
2.80,282
2.90,326
3.00,302
3.10,282
3.20,318
3.30,327
3.40,366
3.50,397
3.60,344
3.70,355
3.80,382
3.90,352
4.00,394
4.10,366
4.20,381
4.30,374
4.40,354
4.50,387
4.60,370
4.70,371
4.80,390
4.90,391
5.01,334
5.11,411
5.21,431
5.31,415
5.41,396
5.51,397
5.61,385
5.71,396
5.81,385
5.91,404
6.01,393
6.11,368
6.21,341
6.31,382
6.41,334
6.51,364
6.61,391
6.71,387
6.81,396
6.91,371
7.01,397
7.11,365
7.21,369
7.31,351
7.41,363
7.51,392
7.61,380
7.71,366
7.81,355
7.91,388
8.01,361
8.11,348
8.21,411
8.31,303
8.41,349
8.51,343
8.61,321
8.71,343
8.81,338
8.91,399
9.01,375
9.11,384
9.21,337
9.31,375
9.41,395
9.51,392
9.61,425
9.71,355
9.81,365
9.91,403
10.01,391
10.11,410
10.21,388
10.31,381
10.41,368
10.51,398
10.61,438
10.71,436
10.81,441
10.91,435
11.01,437
11.11,410
11.21,382
11.31,388
11.41,430
11.51,457
11.61,425
11.71,368
11.81,435
11.91,410
12.01,410
12.11,431
12.21,425
12.31,390
12.41,416
12.51,452
12.61,453
12.71,415
12.81,426
12.91,422
13.01,419
13.11,424
13.21,408
13.31,455
13.41,401
13.51,470
13.61,426
13.71,387
13.81,430
13.91,413
14.01,405
14.11,380
14.21,393
14.31,373
14.41,410
14.51,372
14.61,355
14.71,390
14.81,349
14.91,372
15.02,336
15.12,384
15.22,374
15.32,345
15.42,352
15.52,324
15.62,317
15.72,302
15.82,323
15.92,366
16.02,361
16.12,352
16.22,307
16.32,339
16.42,349
16.52,391
16.62,384
16.72,352
16.82,391
16.92,403
17.02,434
17.12,440
17.22,397
17.32,405
17.42,416
17.52,427
17.62,376
17.72,411
17.82,412
17.92,410
18.02,385
18.12,408
18.22,377
18.32,377
18.42,414
18.52,418
18.62,406
18.72,393
18.82,405
18.92,422
19.02,392
19.12,480
19.22,438
19.32,432
19.42,411
19.52,401
19.62,427
19.72,382
19.82,412
19.92,396
20.02,424
20.12,399
20.22,401
20.32,368
20.42,388
20.52,329
20.62,415
20.72,351
20.82,366
20.92,419
21.02,399
21.12,401
21.22,428
21.32,417
21.42,454
21.52,433
21.62,449
21.72,420
21.82,410
21.92,403
22.02,410
22.12,411
22.22,384
22.32,399
22.42,432
22.52,422
22.62,388
22.72,414
22.82,404
22.92,429
23.02,423
23.12,393
23.22,397
23.32,403
23.42,364
23.52,399
23.62,357
23.72,374
23.82,370
23.92,408
24.02,396
24.12,383
24.22,360
24.32,416
24.42,385
24.52,383
24.62,392
24.72,362
24.82,381
24.92,375
25.03,414
25.13,398
25.23,426
25.33,424
25.43,445
25.53,446
25.63,449
25.73,437
25.83,479
25.93,444
26.03,465
26.13,433
26.23,460
26.33,437
26.43,493
26.53,421
26.63,439
26.73,442
26.83,459
26.93,462
27.03,495
27.13,510
27.23,499
27.33,503
27.43,518
27.53,502
27.63,490
27.73,499
27.83,491
27.93,524
28.03,501
28.13,510
28.23,507
28.33,537
28.43,480
28.53,527
28.63,456
28.73,486
28.83,467
28.93,454
29.03,461
29.13,469
29.23,465
29.33,414
29.43,412
29.53,429
29.63,421
29.73,410
29.83,437
29.93,461
30.03,445
30.13,417
30.23,421
30.33,441
30.43,437
30.53,432
30.63,459
30.73,416
30.83,420
30.93,489
31.03,434
31.13,475
31.23,502
31.33,482
31.43,492
31.53,475
31.63,467
31.73,437
31.83,490
31.93,455
32.03,444
32.13,466
32.23,416
32.33,464
32.43,461
32.53,483
32.63,432
32.73,449
32.83,421
32.93,422
33.03,419
33.13,417
33.23,453
33.33,403
33.43,404
33.53,408
33.63,453
33.73,407
33.83,400
33.93,430
34.03,414
34.13,445
34.23,456
34.33,438
34.43,423
34.53,422
34.63,479
34.73,394
34.83,439
34.93,415
35.04,418
35.14,413
35.24,428
35.34,378
35.44,414
35.54,375
35.64,398
35.74,379
35.84,396
35.94,396
36.04,459
36.14,387
36.24,395
36.34,424
36.44,390
36.54,373
36.64,432
36.74,404
36.84,420
36.94,436
37.04,414
37.14,432
37.24,438
37.34,424
37.44,462
37.54,450
37.64,453
37.74,434
37.84,404
37.94,448
38.04,451
38.14,445
38.24,483
38.34,464
38.44,415
38.54,421
38.64,401
38.74,445
38.84,395
38.94,369
39.04,439
39.14,413
39.24,407
39.34,381
39.44,402
39.54,367
39.64,406
39.74,366
39.84,375
39.94,353
40.04,372
40.14,391
40.24,386
40.34,379
40.44,384
40.54,417
40.64,413
40.74,410
40.84,432
40.94,452
41.04,458
41.14,421
41.24,419
41.34,452
41.44,445
41.54,455
41.64,425
41.74,439
41.84,395
41.94,386
42.04,384
42.14,396
42.24,412
42.34,379
42.44,407
42.54,358
42.64,390
42.74,361
42.84,359
42.94,331
43.04,351
43.14,332
43.24,347
43.34,341
43.44,345
43.54,322
43.64,360
43.74,347
43.84,359
43.94,335
44.04,315
44.14,376
44.24,391
44.34,370
44.44,361
44.54,399
44.64,367
44.74,378
44.84,387
44.94,356
45.05,375
45.15,430
45.25,363
45.35,337
45.45,371
45.55,385
45.65,361
45.75,374
45.85,364
45.95,345
46.05,339
46.15,364
46.25,348
46.35,389
46.45,339
46.55,342
46.65,342
46.75,347
46.85,354
46.95,346
47.05,327
47.15,321
47.25,348
47.35,328
47.45,353
47.55,348
47.65,328
47.75,316
47.85,333
47.95,339
48.05,351
48.15,353
48.25,347
48.35,319
48.45,323
48.55,331
48.65,311
48.75,340
48.85,315
48.95,318
49.05,345
49.15,331
49.25,354
49.35,345
49.45,378
49.55,354
49.65,360
49.75,352
49.85,334
49.95,298
50.05,342
50.15,322
50.25,280
50.35,313
50.45,312
50.55,310
50.65,328
50.75,302
50.85,306
50.95,310
51.05,326
51.15,299
51.25,324
51.35,309
51.45,319
51.55,324
51.65,321
51.75,345
51.85,387
51.95,378
52.05,387
52.15,427
52.25,381
52.35,351
52.45,348
52.55,331
52.65,348
52.75,364
52.85,375
52.95,394
53.05,387
53.15,362
53.25,392
53.35,388
53.45,353
53.55,382
53.65,342
53.75,365
53.85,376
53.95,403
54.05,373
54.15,364
54.25,353
54.35,388
54.45,399
54.55,378
54.65,387
54.75,402
54.85,379
54.95,379
55.06,411
55.16,384
55.26,403
55.36,397
55.46,386
55.56,401
55.66,331
55.76,373
55.86,407
55.96,366
56.06,404
56.16,388
56.26,391
56.36,398
56.46,388
56.56,393
56.66,385
56.76,371
56.86,368
56.96,335
57.06,339
57.16,357
57.26,348
57.36,389
57.46,345
57.56,323
57.66,333
57.76,320
57.86,361
57.96,329
58.06,290
58.16,293
58.26,310
58.36,292
58.46,314
58.56,325
58.66,323
58.76,330
58.86,293
58.96,292
59.06,283
59.16,271
59.26,283
59.36,263
59.46,283
59.56,257
59.66,246
59.76,250
59.86,240
59.96,261
60.06,252
60.16,259
60.26,229
60.36,254
60.46,243
60.56,254
60.66,234
60.76,248
60.86,253
60.96,245
61.06,253
61.16,249
61.26,258
61.36,260
61.46,256
61.56,309
61.66,270
61.76,288
61.86,272
61.96,283
62.06,282
62.16,266
62.26,274
62.36,272
62.46,311
62.56,323
62.66,294
62.76,293
62.86,285
62.96,283
63.06,276
63.16,244
63.26,275
63.36,236
63.46,238
63.56,232
63.66,248
63.76,235
63.86,256
63.96,247
64.06,247
64.16,255
64.26,239
64.36,230
