Au radial distance [nm], count [collisions/A^2]
0.00,3117
0.10,1898
0.20,2345
0.30,2014
0.40,2178
0.50,2016
0.60,2141
0.70,2217
0.80,2236
0.90,2162
1.00,2242
1.10,2218
1.20,2260
1.30,2172
1.40,2244
1.50,2255
1.60,2405
1.70,2262
1.80,2136
1.90,2103
2.00,2180
2.10,2050
2.20,2097
2.30,2058
2.40,2122
2.50,2204
2.60,2056
2.70,2128
2.80,2016
2.90,2085
3.00,2066
3.10,2262
3.20,2080
3.30,2038
3.40,2064
3.50,2047
3.60,2049
3.70,2078
3.80,2189
3.90,2101
4.00,2114
4.10,2029
4.20,2033
4.30,2071
4.40,2072
4.50,2134
4.60,1997
4.70,2013
4.80,1982
4.90,2046
5.01,1994
5.11,1946
5.21,1816
5.31,1809
5.41,1823
5.51,1817
5.61,1857
5.71,1898
5.81,1827
5.91,1763
6.01,1861
6.11,1845
6.21,1756
6.31,1777
6.41,1757
6.51,1816
6.61,1822
6.71,1837
6.81,1813
6.91,1940
7.01,1859
7.11,1835
7.21,1820
7.31,1786
7.41,1908
7.51,1833
7.61,1693
7.71,1790
7.81,1706
7.91,1729
8.01,1609
8.11,1661
8.21,1625
8.31,1649
8.41,1637
8.51,1683
8.61,1627
8.71,1624
8.81,1784
8.91,1633
9.01,1639
9.11,1613
9.21,1520
9.31,1577
9.41,1577
9.51,1566
9.61,1647
9.71,1611
9.81,1628
9.91,1667
10.01,1642
10.11,1591
10.21,1602
10.31,1536
10.41,1685
10.51,1606
10.61,1583
10.71,1563
10.81,1509
10.91,1487
11.01,1512
11.11,1439
11.21,1426
11.31,1469
11.41,1471
11.51,1415
11.61,1418
11.71,1308
11.81,1308
11.91,1388
12.01,1361
12.11,1373
12.21,1424
12.31,1414
12.41,1432
12.51,1365
12.61,1370
12.71,1336
12.81,1379
12.91,1328
13.01,1364
13.11,1263
13.21,1343
13.31,1285
13.41,1246
13.51,1265
13.61,1262
13.71,1356
13.81,1300
13.91,1207
14.01,1238
14.11,1220
14.21,1285
14.31,1186
14.41,1277
14.51,1183
14.61,1282
14.71,1271
14.81,1231
14.91,1220
15.02,1218
15.12,1160
15.22,1196
15.32,1218
15.42,1191
15.52,1231
15.62,1143
15.72,1146
15.82,1116
15.92,1096
16.02,1123
16.12,1044
16.22,1208
16.32,1034
16.42,1107
16.52,1165
16.62,1125
16.72,1199
16.82,1065
16.92,1131
17.02,1081
17.12,1065
17.22,1066
17.32,1042
17.42,1042
17.52,1031
17.62,999
17.72,1074
17.82,1113
17.92,1046
18.02,1016
18.12,988
18.22,986
18.32,1014
18.42,1020
18.52,987
18.62,973
18.72,1020
18.82,947
18.92,960
19.02,1041
19.12,1014
19.22,998
19.32,1112
19.42,965
19.52,980
19.62,926
19.72,1043
19.82,884
19.92,947
20.02,922
20.12,932
20.22,908
20.32,954
20.42,839
20.52,960
20.62,941
20.72,941
20.82,946
20.92,835
21.02,928
21.12,892
21.22,870
21.32,944
21.42,877
21.52,832
21.62,832
21.72,841
21.82,838
21.92,833
22.02,806
22.12,861
22.22,853
22.32,926
22.42,921
22.52,875
22.62,884
22.72,780
22.82,796
22.92,800
23.02,836
23.12,853
23.22,824
23.32,854
23.42,830
23.52,830
23.62,786
23.72,806
23.82,733
23.92,810
24.02,776
24.12,819
24.22,777
24.32,821
24.42,798
24.52,815
24.62,819
24.72,795
24.82,801
24.92,763
25.03,724
25.13,758
25.23,747
25.33,801
25.43,765
25.53,762
25.63,780
25.73,769
25.83,779
25.93,787
26.03,794
26.13,782
26.23,763
26.33,801
26.43,751
26.53,719
26.63,722
26.73,726
26.83,751
26.93,756
27.03,730
27.13,758
27.23,752
27.33,734
27.43,719
27.53,759
27.63,772
27.73,718
27.83,715
27.93,770
28.03,710
28.13,686
28.23,727
28.33,715
28.43,701
28.53,690
28.63,733
28.73,713
28.83,689
28.93,722
29.03,661
29.13,725
29.23,711
29.33,685
29.43,717
29.53,642
29.63,675
29.73,678
29.83,698
29.93,660
30.03,687
30.13,650
30.23,690
30.33,671
30.43,670
30.53,660
30.63,633
30.73,636
30.83,631
30.93,603
31.03,568
31.13,578
31.23,553
31.33,613
31.43,600
31.53,563
31.63,585
31.73,572
31.83,597
31.93,579
32.03,563
32.13,561
32.23,531
32.33,555
32.43,583
32.53,585
32.63,507
32.73,571
32.83,508
32.93,553
33.03,526
33.13,572
33.23,532
33.33,518
33.43,492
33.53,571
33.63,483
33.73,547
33.83,513
33.93,485
34.03,514
34.13,554
34.23,513
34.33,527
34.43,501
34.53,494
34.63,477
34.73,503
34.83,521
34.93,482
35.04,471
35.14,506
35.24,438
35.34,509
35.44,469
35.54,519
35.64,452
35.74,463
35.84,429
35.94,440
36.04,465
36.14,508
36.24,494
36.34,497
36.44,490
36.54,450
36.64,468
36.74,492
36.84,482
36.94,434
37.04,426
37.14,442
37.24,441
37.34,436
37.44,465
37.54,421
37.64,409
37.74,468
37.84,484
37.94,496
38.04,428
38.14,458
38.24,495
38.34,430
38.44,496
38.54,428
38.64,457
38.74,469
38.84,456
38.94,475
39.04,471
39.14,515
39.24,465
39.34,498
39.44,482
39.54,480
39.64,484
39.74,452
39.84,456
39.94,413
40.04,481
40.14,417
40.24,472
40.34,412
40.44,435
40.54,422
40.64,430
40.74,412
40.84,391
40.94,425
41.04,426
41.14,396
41.24,422
41.34,415
41.44,405
41.54,431
41.64,398
41.74,457
41.84,410
41.94,405
42.04,402
42.14,361
42.24,412
42.34,401
42.44,370
42.54,379
42.64,351
42.74,386
42.84,402
42.94,386
