C radial distance [nm], count [collisions/A^2]
0.00,99
0.10,57
0.20,57
0.30,56
0.40,55
0.50,65
0.60,77
0.70,66
0.80,68
0.90,54
1.00,73
1.10,54
1.20,46
1.30,42
1.40,52
1.50,63
1.60,48
1.70,52
1.80,49
1.90,39
2.00,40
2.10,31
2.20,48
2.30,55
2.40,39
2.50,44
2.60,38
2.70,50
2.80,25
2.90,40
3.00,31
3.10,38
3.20,35
3.30,29
3.40,42
3.50,23
3.60,41
3.70,20
3.80,30
3.90,26
4.00,33
4.10,27
4.20,22
4.30,26
4.40,31
4.50,35
4.60,29
4.70,26
4.80,31
4.90,43
5.01,32
5.11,26
5.21,22
5.31,34
5.41,21
5.51,25
5.61,27
5.71,25
5.81,20
5.91,21
6.01,20
6.11,20
6.21,20
6.31,14
6.41,27
6.51,27
6.61,38
6.71,27
6.81,30
6.91,40
7.01,28
7.11,21
7.21,29
7.31,38
7.41,22
7.51,35
7.61,32
7.71,38
7.81,27
7.91,24
8.01,26
8.11,15
8.21,20
8.31,21
8.41,27
8.51,19
8.61,19
8.71,13
8.81,14
8.91,27
9.01,20
9.11,13
9.21,25
9.31,12
9.41,21
9.51,19
9.61,29
9.71,16
9.81,22
9.91,16
10.01,20
10.11,18
10.21,20
10.31,14
10.41,27
10.51,18
10.61,19
10.71,24
10.81,13
10.91,22
11.01,21
11.11,18
11.21,14
11.31,15
11.41,9
11.51,9
11.61,11
11.71,4
11.81,14
11.91,18
12.01,9
12.11,14
12.21,11
12.31,7
12.41,8
12.51,3
12.61,7
12.71,5
12.81,7
12.91,8
13.01,6
13.11,5
13.21,5
13.31,9
13.41,10
13.51,10
13.61,8
13.71,8
13.81,9
13.91,11
14.01,7
14.11,4
14.21,8
14.31,5
14.41,9
14.51,6
14.61,2
14.71,2
14.81,2
14.91,4
15.02,2
15.12,6
15.22,8
15.32,5
15.42,6
15.52,6
15.62,4
15.72,0
15.82,5
15.92,7
16.02,2
16.12,5
16.22,8
16.32,6
16.42,6
16.52,2
16.62,3
16.72,13
16.82,5
16.92,7
17.02,5
17.12,8
17.22,4
17.32,12
17.42,9
17.52,8
17.62,3
17.72,10
17.82,5
17.92,5
18.02,3
18.12,6
18.22,7
18.32,5
18.42,3
18.52,8
18.62,4
18.72,2
18.82,5
18.92,3
19.02,2
19.12,2
19.22,2
19.32,6
19.42,2
19.52,1
19.62,7
19.72,8
19.82,3
19.92,7
20.02,4
20.12,5
20.22,1
20.32,6
20.42,6
20.52,9
20.62,7
20.72,14
20.82,11
20.92,16
21.02,6
21.12,5
21.22,10
21.32,8
21.42,5
21.52,4
21.62,7
21.72,12
21.82,7
21.92,2
22.02,2
22.12,3
22.22,2
22.32,2
