Ni radial distance [nm], count [collisions/A^2]
0.00,878
0.10,510
0.20,641
0.30,573
0.40,580
0.50,522
0.60,624
0.70,593
0.80,651
0.90,642
1.00,602
1.10,702
1.20,566
1.30,622
1.40,623
1.50,578
1.60,566
1.70,539
1.80,556
1.90,551
2.00,521
2.10,506
2.20,555
2.30,502
2.40,526
2.50,454
2.60,511
2.70,484
2.80,526
2.90,481
3.00,490
3.10,511
3.20,485
3.30,513
3.40,439
3.50,435
3.60,455
3.70,417
3.80,457
3.90,475
4.00,440
4.10,441
4.20,445
4.30,426
4.40,444
4.50,398
4.60,488
4.70,429
4.80,421
4.90,394
5.01,393
5.11,355
5.21,381
5.31,369
5.41,353
5.51,378
5.61,377
5.71,380
5.81,329
5.91,371
6.01,355
6.11,362
6.21,366
6.31,326
6.41,322
6.51,307
6.61,304
6.71,320
6.81,322
6.91,265
7.01,298
7.11,320
7.21,297
7.31,345
7.41,309
7.51,301
7.61,298
7.71,293
7.81,282
7.91,268
8.01,265
8.11,283
8.21,239
8.31,282
8.41,261
8.51,268
8.61,251
8.71,278
8.81,250
8.91,264
9.01,258
9.11,229
9.21,238
9.31,228
9.41,246
9.51,224
9.61,226
9.71,250
9.81,224
9.91,230
10.01,236
10.11,216
10.21,219
10.31,218
10.41,235
10.51,232
10.61,223
10.71,226
10.81,236
10.91,226
11.01,239
11.11,258
11.21,267
11.31,242
11.41,256
11.51,227
11.61,242
11.71,208
11.81,218
11.91,220
12.01,199
12.11,175
12.21,209
12.31,186
12.41,166
12.51,202
12.61,157
12.71,194
12.81,175
12.91,187
13.01,202
13.11,175
13.21,173
13.31,182
13.41,162
13.51,173
13.61,173
13.71,186
13.81,154
13.91,165
14.01,142
14.11,140
14.21,141
14.31,153
14.41,163
14.51,143
14.61,134
14.71,118
14.81,142
14.91,137
15.02,148
15.12,124
15.22,153
15.32,120
15.42,136
15.52,138
15.62,164
15.72,127
15.82,157
15.92,122
16.02,129
16.12,105
16.22,118
16.32,119
16.42,124
16.52,102
16.62,118
16.72,113
16.82,88
16.92,100
17.02,100
17.12,100
17.22,100
17.32,104
17.42,91
17.52,96
17.62,108
17.72,105
17.82,94
17.92,104
18.02,91
18.12,92
18.22,78
18.32,87
18.42,95
18.52,90
18.62,92
18.72,78
18.82,80
18.92,84
19.02,74
19.12,81
19.22,78
19.32,74
19.42,74
19.52,83
19.62,59
19.72,69
19.82,95
19.92,78
20.02,69
20.12,71
20.22,76
20.32,64
20.42,63
20.52,63
20.62,81
20.72,82
20.82,71
20.92,78
21.02,72
21.12,83
21.22,87
21.32,67
21.42,78
21.52,52
21.62,69
21.72,70
21.82,65
21.92,57
22.02,58
22.12,67
22.22,71
22.32,66
22.42,72
22.52,60
22.62,57
22.72,65
22.82,47
22.92,77
23.02,82
23.12,87
23.22,77
23.32,68
23.42,59
23.52,73
23.62,89
23.72,76
23.82,66
23.92,67
24.02,63
24.12,57
24.22,74
24.32,76
24.42,70
24.52,68
24.62,38
24.72,58
24.82,66
24.92,71
25.03,61
25.13,58
25.23,74
25.33,80
25.43,64
25.53,94
25.63,69
25.73,69
25.83,62
25.93,68
26.03,56
26.13,58
26.23,74
26.33,79
26.43,78
26.53,80
26.63,54
26.73,74
26.83,46
26.93,44
27.03,41
27.13,50
27.23,34
27.33,32
27.43,46
27.53,45
27.63,50
27.73,48
27.83,68
27.93,46
28.03,41
28.13,36
28.23,44
28.33,39
28.43,33
28.53,43
28.63,43
28.73,47
28.83,37
28.93,52
29.03,28
29.13,57
29.23,44
29.33,48
29.43,40
29.53,33
29.63,38
29.73,33
29.83,30
29.93,26
30.03,34
30.13,37
30.23,32
30.33,36
30.43,40
30.53,29
30.63,27
30.73,38
30.83,31
30.93,26
31.03,24
31.13,29
31.23,33
31.33,47
31.43,35
31.53,39
31.63,43
31.73,33
31.83,43
31.93,47
32.03,45
32.13,38
32.23,30
32.33,43
32.43,40
32.53,39
32.63,47
32.73,26
32.83,28
32.93,42
33.03,46
33.13,39
33.23,40
33.33,33
33.43,34
33.53,28
33.63,28
33.73,35
33.83,38
33.93,36
34.03,37
34.13,24
34.23,30
34.33,32
34.43,35
34.53,32
34.63,29
34.73,39
34.83,33
34.93,29
35.04,39
35.14,31
35.24,27
35.34,43
35.44,24
35.54,36
35.64,23
35.74,29
35.84,37
35.94,28
36.04,15
36.14,25
36.24,19
36.34,23
36.44,22
36.54,27
36.64,19
36.74,21
36.84,19
36.94,21
37.04,27
37.14,20
37.24,17
37.34,32
37.44,17
37.54,20
37.64,19
37.74,15
37.84,17
37.94,21
38.04,24
38.14,20
38.24,15
38.34,15
38.44,18
38.54,12
38.64,20
38.74,18
38.84,21
38.94,12
39.04,19
39.14,17
